Team,ID,G,First,Last,Full,Bag ID,Baggage Name,Bag Vec,Ath,Exp,Skill,Vec,Position,Dump,Back,Fore,Huck Back,Huck Fore,W/ mark,Anti Mark,Wind,Height,Weight,Age,Yr Started,Weeks Missed,Miss Tourney?,Email,Phone,Comments
,143,M,Joy,Margaux,Joy Margaux,,,,4,4,1,9,I don't know,,X,X,,X,,X,X,5'10",200lbs,20,2006,3,Yes,Joy.Margaux653@gmail.com,555-523-3300,
,144,M,Candice,Rainah,Candice Rainah,15,,,4,3,0,7,I don't know,,,,,,,,X,5'0",123lbs,38,2001,0,No,Candice.Rainah449@gmail.com,555-281-8979,
,145,F,Farra,Hike,Farra Hike,134,,,0,2,0,2,handler,,,X,X,X,,,,6'2",152lbs,22,2004,2,Yes,Farra.Hike975@gmail.com,555-987-9260,
,146,F,Letti,Patrica,Letti Patrica,159,,,0,0,0,0,handler,,X,,X,X,X,,,6'10",154lbs,24,2012,0,Yes,Letti.Patrica340@gmail.com,555-682-2051,
,147,F,Coralie,Shelba,Coralie Shelba,,,,0,0,3,3,I don't know,X,X,,,X,X,,X,6'10",202lbs,46,2014,3,No,Coralie.Shelba564@gmail.com,555-470-7767,
,148,M,Wallis,Rudolph,Wallis Rudolph,154,,,4,3,3,10,cutter,,,,,X,,X,X,6'2",142lbs,33,2009,1,No,Wallis.Rudolph930@gmail.com,555-675-8426,
,149,M,Corrine,Duester,Corrine Duester,60,,,1,2,1,4,I don't know,X,X,X,X,X,,,,6'0",133lbs,24,2007,0,Yes,Corrine.Duester936@gmail.com,555-640-8433,
,150,F,Lillis,Abijah,Lillis Abijah,87,,,0,3,1,4,cutter,,X,X,,,X,,X,6'9",125lbs,24,2007,0,Yes,Lillis.Abijah598@gmail.com,555-343-3386,
,151,M,Anne,Anderer,Anne Anderer,96,,,2,4,3,9,cutter,X,,,,,X,,X,5'4",216lbs,20,2004,0,No,Anne.Anderer74@gmail.com,555-259-6751,
,152,F,Naomi,Utham,Naomi Utham,155,,,3,2,1,6,I don't know,,,X,X,X,,,X,5'3",179lbs,41,2005,2,Yes,Naomi.Utham846@gmail.com,555-697-3797,
,153,F,Devonna,Poppas,Devonna Poppas,,,,4,2,3,9,cutter,X,,,,,,,,5'9",178lbs,40,2006,3,No,Devonna.Poppas582@gmail.com,555-959-1874,
,154,M,Ashlee,Bjorn,Ashlee Bjorn,148,,,2,4,4,10,cutter,,,,X,X,,X,X,6'8",184lbs,51,2008,4,No,Ashlee.Bjorn134@gmail.com,555-799-3034,
,155,M,Netta,McNamara,Netta McNamara,152,,,0,2,4,6,cutter,X,X,X,X,X,X,,X,6'9",126lbs,46,2009,1,Yes,Netta.McNamara927@gmail.com,555-127-3194,
,156,M,Sunshine,Fairbanks,Sunshine Fairbanks,75,,,2,0,2,4,cutter,,,,,,X,,X,6'8",159lbs,35,2005,0,No,Sunshine.Fairbanks886@gmail.com,555-828-8232,
,157,M,Joane,Cilurzo,Joane Cilurzo,7,,,3,0,2,5,I don't know,,,,,X,X,X,X,5'1",213lbs,25,2005,1,No,Joane.Cilurzo919@gmail.com,555-956-7202,
,158,M,Ethel,Issy,Ethel Issy,166,,,1,3,3,7,handler,,X,X,,X,X,X,X,5'0",121lbs,49,2010,1,No,Ethel.Issy548@gmail.com,555-321-3219,
,159,F,Maureen,Podvin,Maureen Podvin,146,,,3,0,2,5,handler,,X,,,X,X,,X,5'3",213lbs,47,2009,3,Yes,Maureen.Podvin988@gmail.com,555-636-5966,
,160,M,Margeaux,Westlund,Margeaux Westlund,30,,,2,1,2,5,cutter,,X,X,X,,X,,X,6'2",227lbs,44,2001,3,No,Margeaux.Westlund246@gmail.com,555-841-6990,
,161,F,Tomasine,Orwin,Tomasine Orwin,26,,,1,4,2,7,I don't know,X,,,X,X,X,X,X,5'8",224lbs,49,2003,3,No,Tomasine.Orwin531@gmail.com,555-991-2858,
,162,M,Brenda,Jenness,Brenda Jenness,4,,,3,3,2,8,I don't know,,X,X,,X,X,,X,6'1",176lbs,18,2001,4,No,Brenda.Jenness275@gmail.com,555-528-9574,
,163,F,Darleen,Incrocci,Darleen Incrocci,47,,,2,0,1,3,cutter,,X,,,,,,,6'2",226lbs,29,2015,2,No,Darleen.Incrocci233@gmail.com,555-379-7553,
,164,F,Luciana,Lambertson,Luciana Lambertson,74,,,1,0,3,4,I don't know,,X,,X,X,X,X,X,5'3",189lbs,45,2012,3,Yes,Luciana.Lambertson947@gmail.com,555-830-9804,
,165,F,Thomasa,Modla,Thomasa Modla,13,,,4,4,3,11,handler,,,X,,,,X,,6'0",187lbs,20,2006,4,No,Thomasa.Modla956@gmail.com,555-425-1698,
,166,F,Melinde,Garin,Melinde Garin,158,,,2,2,4,8,cutter,,X,X,X,X,,X,X,6'9",189lbs,51,2014,2,Yes,Melinde.Garin49@gmail.com,555-111-434,
,167,F,Winne,Sikes,Winne Sikes,171,,,4,2,3,9,handler,X,X,X,X,X,X,X,,6'2",187lbs,55,2013,3,No,Winne.Sikes610@gmail.com,555-820-3157,
,168,F,Elinor,Leonhard,Elinor Leonhard,16,,,1,1,2,4,handler,X,X,X,X,,X,,,5'9",182lbs,45,2005,4,No,Elinor.Leonhard659@gmail.com,555-526-8657,
,169,F,Lilah,Cordelia,Lilah Cordelia,17,,,0,0,1,1,cutter,X,,X,,,X,,,6'5",152lbs,34,2015,3,Yes,Lilah.Cordelia881@gmail.com,555-965-2805,
,170,F,Berrie,Wind,Berrie Wind,65,,,1,1,1,3,handler,,,,,X,,,,6'1",169lbs,55,2004,0,No,Berrie.Wind672@gmail.com,555-215-4902,
,171,M,Lissie,Irwin,Lissie Irwin,167,,,0,2,4,6,handler,X,,X,X,,X,X,X,5'2",214lbs,23,2014,4,Yes,Lissie.Irwin913@gmail.com,555-781-7815,
,172,F,Alexina,Maidel,Alexina Maidel,110,,,4,4,4,12,I don't know,,,X,X,X,,,X,5'6",131lbs,47,2015,1,Yes,Alexina.Maidel395@gmail.com,555-631-5156,
,173,F,Fleur,Tarton,Fleur Tarton,22,,,4,1,0,5,handler,,X,X,,X,X,,X,5'7",187lbs,51,2003,0,Yes,Fleur.Tarton794@gmail.com,555-472-9432,
,174,M,Antonie,Ensoll,Antonie Ensoll,39,,,0,2,0,2,I don't know,,X,,X,,,X,X,5'9",213lbs,26,2012,1,Yes,Antonie.Ensoll520@gmail.com,555-562-4314,
,175,M,Gayleen,Royo,Gayleen Royo,33,,,0,4,1,5,I don't know,,,X,,,X,,X,5'0",118lbs,19,2004,3,No,Gayleen.Royo531@gmail.com,555-696-6398,
